"id","product_id","price","zone_id","created_at","updated_at"
"2862","83","370","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2863","83","151.52","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2864","84","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2865","84","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2866","84","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2867","84","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2868","85","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2869","85","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2870","85","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2871","85","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2872","86","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2873","86","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2874","86","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2875","86","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2876","87","60.61","1","14/10/2025 15:31:08","14/10/2025 15:31:08"
"2877","87","15.15","2","14/10/2025 15:31:18","14/10/2025 15:31:18"
"2878","87","270","3","14/10/2025 15:31:27","14/10/2025 15:31:27"
"2879","87","60.61","4","14/10/2025 15:31:42","14/10/2025 15:31:42"
"2880","88","60.61","1","14/10/2025 15:45:52","14/10/2025 15:45:52"
"2881","88","15.15","2","14/10/2025 15:46:04","14/10/2025 15:46:04"
"2882","88","270","3","14/10/2025 15:46:15","14/10/2025 15:46:15"
"2883","88","60.61","4","14/10/2025 15:46:26","14/10/2025 15:46:26"
"2884","89","60.61","1","14/10/2025 15:54:45","14/10/2025 15:54:45"
"2885","89","15.15","2","14/10/2025 15:54:54","14/10/2025 15:54:54"
"2886","89","270","3","14/10/2025 15:55:03","14/10/2025 15:55:03"
"2887","89","60.61","4","14/10/2025 15:55:14","14/10/2025 15:55:14"
"2888","90","15.15","2","14/10/2025 16:00:08","14/10/2025 16:00:08"
"2889","90","60.61","1","14/10/2025 16:00:18","14/10/2025 16:00:18"
"2890","90","270","3","14/10/2025 16:00:25","14/10/2025 16:00:25"
"2891","90","60.61","4","14/10/2025 16:00:38","14/10/2025 16:00:38"
"2892","91","60.61","1","14/10/2025 16:04:29","14/10/2025 16:04:29"
"2893","91","15.15","2","14/10/2025 16:04:38","14/10/2025 16:04:38"
"2894","91","270","3","14/10/2025 16:04:45","14/10/2025 16:04:45"
